Длина волны, нм	амплитуда
 323.5	0
 323.8	0
 324.1	0
 324.4	0
 324.7	0
 325.0	0
 325.3	0
 325.7	0
 326.0	0
 326.3	0
 326.6	0
 326.9	0
 327.2	0
 327.5	0
 327.8	0
 328.1	0
 328.4	0
 328.7	0
 329.0	0
 329.3	0
 329.6	0
 329.9	0
 330.2	0
 330.5	0
 330.8	0
 331.1	0
 331.4	0
 331.7	0
 332.0	0
 332.3	0
 332.6	10
 332.9	10
 333.2	10
 333.5	11
 333.8	11
 334.1	12
 334.4	10
 334.7	10
 335.0	9
 335.3	10
 335.6	15
 335.9	16
 336.2	16
 336.5	14
 336.8	12
 337.1	12
 337.4	14
 337.7	14
 338.0	12
 338.3	12
 338.6	14
 338.9	14
 339.2	14
 339.5	12
 339.8	12
 340.1	12
 340.4	14
 340.7	16
 341.0	14
 341.3	16
 341.6	16
 341.9	16
 342.2	16
 342.5	14
 342.8	14
 343.1	14
 343.4	14
 343.7	16
 344.0	16
 344.3	16
 344.6	16
 344.9	16
 345.2	15
 345.5	15
 345.8	16
 346.2	16
 346.5	18
 346.8	18
 347.1	18
 347.4	18
 347.7	16
 348.0	16
 348.3	16
 348.6	16
 348.9	16
 349.2	16
 349.5	18
 349.8	18
 350.1	18
 350.4	14
 350.7	14
 351.0	14
 351.3	12
 351.6	16
 351.9	16
 352.2	16
 352.5	17
 352.8	17
 353.1	17
 353.4	17
 353.7	17
 354.0	17
 354.3	17
 354.6	17
 354.9	16
 355.2	16
 355.5	14
 355.8	14
 356.1	15
 356.4	15
 356.7	18
 357.0	19
 357.3	18
 357.6	17
 357.9	16
 358.2	16
 358.5	16
 358.8	16
 359.1	17
 359.4	17
 359.7	19
 360.0	19
 360.3	19
 360.6	15
 360.9	14
 361.2	18
 361.5	20
 361.8	23
 362.1	23
 362.4	23
 362.7	19
 363.0	17
 363.3	18
 363.6	18
 363.9	18
 364.2	18
 364.5	18
 364.8	18
 365.1	18
 365.4	18
 365.7	14
 366.0	14
 366.3	16
 366.6	18
 367.0	21
 367.3	21
 367.6	22
 367.9	20
 368.2	19
 368.5	19
 368.8	16
 369.1	16
 369.4	19
 369.7	19
 370.0	19
 370.3	19
 370.6	20
 370.9	20
 371.2	19
 371.5	19
 371.8	19
 372.1	19
 372.4	20
 372.7	20
 373.0	19
 373.3	19
 373.6	19
 373.9	19
 374.2	19
 374.5	19
 374.8	19
 375.1	21
 375.4	21
 375.7	21
 376.0	20
 376.3	19
 376.6	18
 376.9	19
 377.2	19
 377.5	19
 377.8	22
 378.1	22
 378.4	22
 378.7	21
 379.0	20
 379.3	19
 379.6	20
 379.9	21
 380.2	22
 380.5	23
 380.8	23
 381.1	21
 381.4	19
 381.7	17
 382.0	18
 382.3	18
 382.6	18
 382.9	22
 383.2	23
 383.5	23
 383.8	21
 384.1	19
 384.4	19
 384.7	19
 385.0	20
 385.3	20
 385.6	21
 385.9	23
 386.2	21
 386.5	21
 386.8	20
 387.1	18
 387.5	19
 387.8	22
 388.1	24
 388.4	23
 388.7	22
 389.0	22
 389.3	21
 389.6	21
 389.9	21
 390.2	21
 390.5	21
 390.8	21
 391.1	22
 391.4	20
 391.7	21
 392.0	21
 392.3	19
 392.6	19
 392.9	21
 393.2	23
 393.5	22
 393.8	20
 394.1	19
 394.4	19
 394.7	19
 395.0	20
 395.3	21
 395.6	20
 395.9	19
 396.2	21
 396.5	21
 396.8	21
 397.1	21
 397.4	20
 397.7	18
 398.0	19
 398.3	19
